Ordre,Pays,Artiste,Chanson,Langue,Place,Points
01,"<span data-sort-value=""Chypre 0""> Chypre",Elena Tsagrinou,El Diablo,Anglais,16,94
02,"<span data-sort-value=""Albanie""> Albanie",Anxhela Peristeri,Karma,Albanais,21,57
03,"<span data-sort-value=""Israel""> Israël",Eden Alene,Set Me Free,Anglais[N 4],17,93
04,"<span data-sort-value=""Belgique""> Belgique",Hooverphonic,The Wrong Place,Anglais,19,74
05,"<span data-sort-value=""Russie""> Russie",Manizha,Russian Woman,"Russe, anglais",09,204
06,"<span data-sort-value=""Malte""> Malte",Destiny,Je me casse,Anglais[N 6],07,255
07,"<span data-sort-value=""Portugal""> Portugal",The Black Mamba,Love Is on My Side,Anglais,12,153
08,"<span data-sort-value=""Serbie 0""> Serbie",Hurricane,Loco Loco,Serbe[N 9],15,102
09,"<span data-sort-value=""Royaume-Uni""> Royaume-Uni",James Newman,Embers,Anglais,26,0
10,"<span data-sort-value=""Grece""> Grèce",Stefania,Last Dance,Anglais,10,170
11,"<span data-sort-value=""Suisse""> Suisse",Gjon's Tears,Tout l'Univers,Français,03,432
12,"<span data-sort-value=""Islande""> Islande",Daði og Gagnamagnið,10 Years,Anglais,04,378
13,"<span data-sort-value=""Espagne""> Espagne",Blas Cantó,Voy a quedarme,Espagnol,24,6
14,"<span data-sort-value=""Moldavie""> Moldavie",Natalia Gordienko,SUGAR,Anglais,13,115
15,"<span data-sort-value=""Allemagne""> Allemagne",Jendrik,I Don't Feel Hate,Anglais[N 10],25,3
16,"<span data-sort-value=""Finlande""> Finlande",Blind Channel,Dark Side,Anglais,06,301
17,"<span data-sort-value=""Bulgarie""> Bulgarie",VICTORIA,Growing Up Is Getting Old,Anglais,11,170
18,"<span data-sort-value=""Lituanie""> Lituanie",The Roop,Discoteque,Anglais,08,220
19,"<span data-sort-value=""Ukraine""> Ukraine",Go_A,"Shum (Шум)",Ukrainien,05,364
20,"<span data-sort-value=""France""> France",Barbara Pravi,Voilà,Français,02,499
21,"<span data-sort-value=""Azerbaidjan""> Azerbaïdjan",Efendi,Mata Hari,Anglais[N 5],20,65
22,"<span data-sort-value=""Norvege""> Norvège",TIX,Fallen Angel,Anglais,18,75
23,"<span data-sort-value=""Pays-Bas""> Pays-Bas (hôte)",Jeangu Macrooy,Birth of a New Age,"Anglais, sranan",23,11
24,"<span data-sort-value=""Italie""> Italie",Måneskin,Zitti e buoni,Italien,01,524
25,"<span data-sort-value=""Suede 0""> Suède",Tusse,Voices,Anglais,14,109
26,"<span data-sort-value=""Saint marin""> Saint-Marin",Senhit et Flo Rida,Adrenalina,Anglais[N 7],22,50
